pageid,title,wikidata,label
100384,Willem-Alexander of the Netherlands,Q154952,Willem-Alexander of the Netherlands
645053,Hans van den Broek,Q712105,Hans van den Broek
661242,Robbert Dijkgraaf,Q710978,Robbert Dijkgraaf
1044163,Femke Halsema,Q288283,Femke Halsema
4321056,Mark Rutte,Q57792,Mark Rutte
7598430,Ahmed Aboutaleb,Q401107,Ahmed Aboutaleb
9491236,Sharon Dijksma,Q2000726,Sharon Dijksma
13463888,Frits Korthals Altes,Q457706,Frits Korthals Altes
18687903,John Jorritsma,Q1944545,John Jorritsma
20607968,Herman Tjeenk Willink,Q1950583,Herman Tjeenk Willink
23689328,Karien van Gennip,Q2469097,Karien van Gennip
27589278,Hanke Bruins Slot,Q5165280,Hanke Bruins Slot
30934627,Marnix van Rij,Q2419764,Marnix van Rij
31039255,Mark Harbers,Q2257536,Mark Harbers
31806059,Carola Schouten,Q2625041,Carola Schouten
32238787,Tjeerd van Dekken,Q2318936,Tjeerd van Dekken
33016488,Jan van Zanen,Q2216667,Jan van Zanen
34298038,Klaas Knot,Q631864,Klaas Knot
37042176,Vera Bergkamp,Q3084300,Vera Bergkamp
37839724,Désirée Bonis,Q429445,Désirée Bonis
37999797,Aukje de Vries,Q1532558,Aukje de Vries
40791438,Sigrid Kaag,Q15077856,Sigrid Kaag
46393176,Kajsa Ollongren,Q2776715,Kajsa Ollongren
48908648,Franc Weerwind,Q3037436,Franc Weerwind
55732893,Hugo de Jonge,Q2649226,Hugo de Jonge
55783045,Wopke Hoekstra,Q14520235,Wopke Hoekstra
56146995,Christianne van der Wal,Q44082843,Christianne van der Wal
58754918,Rob Jetten,Q28860866,Rob Jetten
61197860,Jan Anthonie Bruijn,Q1899440,Jan Anthonie Bruijn
62485906,Liesje Schreinemacher,Q64616136,Liesje Schreinemacher
63013366,Dennis Wiersma,Q28653560,Dennis Wiersma
63015531,Dilan Yeşilgöz-Zegerius,Q28861002,Dilan Yeşilgöz-Zegerius
63051389,Alexandra van Huffelen,Q2916448,Alexandra van Huffelen
63157743,Hans Vijlbrief,Q83779218,Hans Vijlbrief
67407093,Onno Eichelsheim,Q94429161,Onno Eichelsheim
68406806,Eric van der Burg,Q2084799,Eric van der Burg
69858890,Ernst Kuipers,Q39447567,Ernst Kuipers
69893125,Gunay Uslu,Q110401312,Gunay Uslu
69915219,Vivianne Heijnen,Q28857931,Vivianne Heijnen
71279413,Micky Adriaansens,Q64711678,Micky Adriaansens
71279563,Henk Staghouwer,Q71788527,Henk Staghouwer
