ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q378651,Heemskerk-Van Lynden van Sandenburg Cabinet,1873-01-01,9,,,,,,,,,,,Q1719825,De Vries–Fransen van de Putte cabinet,Q1720040,Kappeyne van de Copello cabinet
,Q1720040,Kappeyne van de Copello cabinet,1877-11-03,11,,,1879-08-20,11,,,,,,,Q378651,Heemskerk-Van Lynden van Sandenburg Cabinet,Q1626821,Cabinet Van Lynden van Sandenburg
,Q3313016,Cort van der Linden cabinet,1913-01-01,9,,,,,,,,,,,,,,
,Q1719737,First Beel cabinet,1946-07-03,11,1946-07-03,11,1948-08-07,11,1948-08-07,11,Q1323229,Schermerhorn-Drees cabinet,,,,,Q1719852,Drees-Van Schaik cabinet
,Q1719852,Drees-Van Schaik cabinet,1948-08-07,11,1948-08-07,11,1951-03-15,11,1951-03-15,11,,,,,Q1719737,First Beel cabinet,Q971839,First Drees cabinet
,Q971839,First Drees cabinet,1951-03-15,11,1951-03-15,11,1952-09-02,11,1952-09-02,11,,,,,Q1719852,Drees-Van Schaik cabinet,Q1719855,Second Drees cabinet
,Q1719855,Second Drees cabinet,1952-09-02,11,1952-09-02,11,1956-10-13,11,1956-10-13,11,,,,,Q971839,First Drees cabinet,Q1719857,Third Drees cabinet
,Q1719857,Third Drees cabinet,1956-10-13,11,1956-10-13,11,1958-12-22,11,1958-12-22,11,,,,,Q1719855,Second Drees cabinet,Q1719738,Second Beel cabinet
,Q1719738,Second Beel cabinet,1958-12-22,11,1958-12-22,11,1959-05-19,11,1959-05-19,11,,,,,Q1719857,Third Drees cabinet,Q1332969,De Quay cabinet
,Q1332969,De Quay cabinet,1959-05-16,11,1959-05-16,11,1963-07-24,11,1963-01-01,9,,,,,Q1719738,Second Beel cabinet,Q1670105,Marijnen cabinet
,Q1670105,Marijnen cabinet,1963-07-24,11,1963-07-24,11,1965-04-14,11,1965-04-14,11,,,,,Q1332969,De Quay cabinet,Q1324553,Cals cabinet
,Q1324553,Cals cabinet,1965-04-14,11,1965-04-14,11,1966-11-22,11,1966-11-22,11,,,,,Q1670105,Marijnen cabinet,Q1720809,Zijlstra cabinet
,Q1720809,Zijlstra cabinet,1966-11-22,11,1966-11-22,11,1967-04-05,11,1967-04-05,11,,,,,Q1324553,Cals cabinet,Q1719820,De Jong cabinet
,Q1719820,De Jong cabinet,1967-04-05,11,1967-04-05,11,1971-07-06,11,1971-07-06,11,,,,,Q1720809,Zijlstra cabinet,Q1552873,First Biesheuvel cabinet
,Q1552873,First Biesheuvel cabinet,1971-07-06,11,1971-07-06,11,1972-08-09,11,1972-08-09,11,,,,,Q1719820,De Jong cabinet,Q2191762,Second Biesheuvel cabinet
,Q2191762,Second Biesheuvel cabinet,1972-08-09,11,1972-08-09,11,1973-05-11,11,1973-05-11,11,,,,,Q1552873,First Biesheuvel cabinet,Q1719834,Den Uyl cabinet
,Q1719834,Den Uyl cabinet,1973-05-11,11,1973-05-11,11,1977-12-19,11,1977-12-19,11,,,,,Q2191762,Second Biesheuvel cabinet,Q1720433,First Van Agt cabinet
,Q1720433,First Van Agt cabinet,1977-12-19,11,1977-12-19,11,1981-09-11,11,1981-09-11,11,,,Q1143299,Second Van Agt cabinet,Q1719834,Den Uyl cabinet,Q1143299,Second Van Agt cabinet
,Q1143299,Second Van Agt cabinet,1981-09-11,11,1981-09-11,11,1982-05-29,11,1982-05-29,11,Q1720433,First Van Agt cabinet,Q1142894,Third Van Agt cabinet,Q1720433,First Van Agt cabinet,Q1142894,Third Van Agt cabinet
,Q1142894,Third Van Agt cabinet,1982-05-29,11,1982-05-29,11,1982-11-04,11,1982-11-04,11,Q1143299,Second Van Agt cabinet,Q267810,First Lubbers cabinet,Q1143299,Second Van Agt cabinet,Q267810,First Lubbers cabinet
,Q267810,First Lubbers cabinet,1982-11-04,11,1982-11-04,11,1986-07-14,11,1986-07-14,11,Q1142894,Third Van Agt cabinet,Q1142884,Second Lubbers cabinet,Q1142894,Third Van Agt cabinet,Q1142884,Second Lubbers cabinet
,Q1142884,Second Lubbers cabinet,1986-07-14,11,1986-07-14,11,1989-11-07,11,1989-11-07,11,Q267810,First Lubbers cabinet,Q1143050,Third Lubbers cabinet,Q267810,First Lubbers cabinet,Q1143050,Third Lubbers cabinet
,Q1143050,Third Lubbers cabinet,1989-11-07,11,1989-11-07,11,1994-08-22,11,1994-08-22,11,Q1142884,Second Lubbers cabinet,Q1143143,First Kok cabinet,Q1142884,Second Lubbers cabinet,Q1143143,First Kok cabinet
,Q1143143,First Kok cabinet,1994-08-22,11,1994-08-22,11,1998-08-03,11,1998-08-03,11,Q1143050,Third Lubbers cabinet,Q1143058,Second Kok cabinet,Q1143050,Third Lubbers cabinet,Q1143058,Second Kok cabinet
,Q1143058,Second Kok cabinet,1998-08-03,11,1998-08-03,11,2002-07-22,11,2002-07-22,11,Q1143143,First Kok cabinet,Q1549819,First Balkenende cabinet,Q1143143,First Kok cabinet,Q1549819,First Balkenende cabinet
,Q1549819,First Balkenende cabinet,2002-07-22,11,2002-07-22,11,2003-05-27,11,2003-05-27,11,Q1143058,Second Kok cabinet,Q975221,Second Balkenende cabinet,Q1143058,Second Kok cabinet,Q975221,Second Balkenende cabinet
,Q975221,Second Balkenende cabinet,2003-05-27,11,2003-05-27,11,2006-07-07,11,2006-07-07,11,Q1549819,First Balkenende cabinet,Q1473297,Third Balkenende cabinet,Q1549819,First Balkenende cabinet,Q1473297,Third Balkenende cabinet
,Q1473297,Third Balkenende cabinet,2006-07-07,11,2006-07-07,11,2007-02-22,11,2007-02-22,11,Q975221,Second Balkenende cabinet,Q1719725,Fourth Balkenende cabinet,Q975221,Second Balkenende cabinet,Q1719725,Fourth Balkenende cabinet
,Q1719725,Fourth Balkenende cabinet,2007-02-22,11,2007-02-22,11,2010-10-14,11,2010-10-14,11,Q1473297,Third Balkenende cabinet,Q168828,First Rutte cabinet,Q1473297,Third Balkenende cabinet,Q168828,First Rutte cabinet
,Q168828,First Rutte cabinet,2010-10-14,11,2010-10-14,11,2012-11-05,11,2012-11-05,11,Q1719725,Fourth Balkenende cabinet,Q1638648,Second Rutte cabinet,Q1719725,Fourth Balkenende cabinet,Q1638648,Second Rutte cabinet
,Q1638648,Second Rutte cabinet,2012-11-05,11,2012-11-05,11,2017-10-26,11,2017-10-26,11,Q168828,First Rutte cabinet,Q42293409,Third Rutte cabinet,Q168828,First Rutte cabinet,Q42293409,Third Rutte cabinet
,Q42293409,Third Rutte cabinet,2017-10-26,11,2017-10-26,11,2022-01-10,11,,,Q1638648,Second Rutte cabinet,Q110111120,Fourth Rutte cabinet,Q1638648,Second Rutte cabinet,,
,Q110111120,Fourth Rutte cabinet,2022-01-10,11,,,,,,,Q42293409,Third Rutte cabinet,,,Q42293409,Third Rutte cabinet,,
