wanted,position,positionid,from,start,end
Q2195581,Minister of Defence,Q20740176,Q732818,2021-09-24,2022-01-10
Q2010479,State Secretary for Economic Affairs and Climate Policy,Q106979005,Q94229,2017-10-26,2021-09-25
Q732818,Minister of Agriculture,Q61188918,Q2625041,2017-10-26,2022-01-10
Q554116,Minister of Economic Affairs and Climate Policy,Q26197292,Q732818,2012-11-05,2017-10-26
Q558472,Minister of Economic Affairs,Q26720684,Q501892,2012-11-05,2012-12-06
Q2797147,"Minister of Economic Affairs, Agriculture and Innovation",Q108274706,Q558472,2010-10-14,2012-11-05
Q467833,State Secretary for Infrastructure and Water Management,Q106531662,Q560481,2010-10-14,2012-11-05
