id,name,relationship,relative,relativename
Q100779990,Jan Keunen,father,Q2371691,Rudy Keunen
Q1028887,Camiel Eurlings,father,Q2438491,Martin Eurlings
Q105338,Geert Wilders,father,Q107125188,Johannes Henricus Andreas Wilders
Q105338,Geert Wilders,mother,Q107125192,Maria Anne Ording
Q105338,Geert Wilders,sibling,Q26745481,Paul Wilders
Q105338,Geert Wilders,spouse,Q26721525,Krisztina Wilders
Q105750190,Fonda Sahla,sibling,Q109942934,Soumaya Sahla
Q110401312,Gunay Uslu,sibling,Q14642576,Meral Uslu
Q110401312,Gunay Uslu,sibling,Q65220144,Atılay Uslu
Q110699193,Ingrid Mortiers,spouse,Q105393591,Peter Hofstede
Q110699411,Dorienke de Grave-Verkerk,spouse,Q2320629,Frank de Grave
Q12013388,Eric Smaling,father,Q2018805,Eelke de Jong
Q1279554,Eberhard van der Laan,father,Q53252478,Edzard van der Laan
Q1279554,Eberhard van der Laan,spouse,Q110845941,Femke van der Laan
Q133386,Jan Peter Balkenende,father,Q13418237,Jan Pieter Balkenende
Q133386,Jan Peter Balkenende,spouse,Q4335418,Bianca Hoogendijk
Q1358714,Ernst Hirsch Ballin,child,Q85504870,Marianne Hirsch Ballin
Q1358714,Ernst Hirsch Ballin,father,Q62023576,E.D. Hirsch Ballin
Q1366279,Jozias van Aartsen,father,Q1682422,Jan van Aartsen
Q1375236,Halbe Zijlstra,spouse,Q84517460,Ingrid de Bondt
Q1396958,Jan Marijnissen,child,Q1882072,Lilian Marijnissen
Q1396958,Jan Marijnissen,spouse,Q1961129,Mari-Anne Marijnissen
Q1397450,Jan Terlouw,child,Q14307621,Sanne Terlouw
Q1397450,Jan Terlouw,child,Q46123266,Ashley Terlouw
Q1397450,Jan Terlouw,spouse,Q24014785,Alexandra Terlouw-van Hulst
Q14520235,Wopke Hoekstra,father,Q96102049,Joost Hoekstra
Q14753258,Tjitske Siderius,relative,Q3304713,Meinardus Siderius
Q15077856,Sigrid Kaag,spouse,Q104775812,Anis al-Qaq
Q154952,Willem-Alexander of the Netherlands,child,Q1061685,Princess Alexia of the Netherlands
Q154952,Willem-Alexander of the Netherlands,child,Q1076063,Princess Ariane of the Netherlands
Q154952,Willem-Alexander of the Netherlands,child,Q855749,"Catharina-Amalia, Princess of Orange"
Q154952,Willem-Alexander of the Netherlands,father,Q159609,Prince Claus of the Netherlands
Q154952,Willem-Alexander of the Netherlands,godparent,Q102139,Margrethe II of Denmark
Q154952,Willem-Alexander of the Netherlands,godparent,Q109939775,Renée Smith-Röell
Q154952,Willem-Alexander of the Netherlands,godparent,Q2099997,Baroness Gösta von dem Bussche-Haddenhausen
Q154952,Willem-Alexander of the Netherlands,godparent,Q380970,Jelle Zijlstra
Q154952,Willem-Alexander of the Netherlands,godparent,Q57304,"Prince Bernhard, Prince Consort of the Netherlands"
Q154952,Willem-Alexander of the Netherlands,godparent,Q88905,Ferdinand von Bismarck
Q154952,Willem-Alexander of the Netherlands,mother,Q29574,Beatrix of the Netherlands
Q154952,Willem-Alexander of the Netherlands,sibling,Q352981,Prince Friso of the Netherlands
