wanted,position,positionid,from,start,end
Q94229,Minister of Economic Affairs,Q26720684,Q2010479,2015-11-03,2017-09-01
Q501892,"Minister of Economic Affairs, Agriculture and Innovation",Q108274706,Q558472,2010-10-14,2012-11-05
Q435886,"Minister of Transport, Public Works and Water Management",Q15731332,Q1028887,2007-02-22,2010-10-14
Q554116,Minister of Agriculture,Q61188918,Q449601,2007-02-22,2010-10-14
Q554116,Minister of Economic Affairs and Climate Policy,Q26197292,Q544127,2007-02-22,2010-10-14
Q558472,Minister of Economic Affairs,Q26720684,Q2797147,2007-02-22,2010-02-23
