@@,name,position
->,Vivianne Heijnen,State Secretary for Infrastructure and Water Management->Minister for the Environment
->,Marnix van Rij,State Secretary for Tax Affairs->State Secretary for Tax Affairs and the Tax Administration
->,Maarten van Ooijen,"Dutch State Secretary for Health, Welfare and Sport->State Secretary for Health, Welfare and Sport"
->,Hans Vijlbrief,Dutch State Secretary for Economic Affairs and Climate Policy->State Secretary for the Extractive Industries
->,Eric van der Burg,Dutch State Secretary for Justice and Security->Minister for Migration
->,Dilan Yeṣilgöz->Dilan Yeşilgöz-Zegerius,Minister of Justice and Security
->,Alexandra van Huffelen,Dutch State Secretary for the Interior and Kingdom Relations->Minister for Digitalisation
